id,quorum,popsize,gens,prob_mutacion,prob_seleccion,total_time,result_cost
20250702_215248,216,38,6505,0.1700019,0.141,42.6642,9686.938310
20250702_215332,216,38,20000,0.1700019,0.141,147.5424,9687.330950
20250702_215602,216,38,7827,0.1700019,0.141,53.9378,9686.938310
20250702_215657,216,38,12313,0.1700019,0.141,85.2765,9686.938310
20250702_215824,216,38,20000,0.1700019,0.141,156.7737,9687.330950
20250702_220103,216,38,8304,0.1700019,0.141,62.0045,9686.938310
20250702_220207,216,38,6912,0.1700019,0.141,51.5304,9686.938310
20250702_220300,216,38,10350,0.1700019,0.141,73.1555,9686.938310
20250702_220415,216,38,8659,0.1700019,0.141,68.7836,9686.938310
20250702_220526,216,38,16113,0.1700019,0.141,130.2637,9686.938310
20250702_220738,216,38,10569,0.1700019,0.141,83.4015,9686.938310
20250702_220903,216,38,5585,0.1700019,0.141,42.3402,9686.938310
20250702_220948,216,38,6244,0.1700019,0.141,47.1959,9686.938310
20250702_221037,216,38,9243,0.1700019,0.141,71.5427,9686.938310
20250702_221150,216,38,9165,0.1700019,0.141,71.4219,9686.938310
20250702_221303,216,38,8386,0.1700019,0.141,65.9065,9686.938310
20250702_221411,216,38,7804,0.1700019,0.141,59.5218,9686.938310
20250702_221512,216,38,8819,0.1700019,0.141,63.8874,9686.938310
20250702_221618,216,38,11785,0.1700019,0.141,84.4807,9686.938310
20250702_221744,216,38,12456,0.1700019,0.141,89.0366,9686.938310
20250702_221915,216,38,20000,0.1700019,0.141,148.5482,9689.121676
20250702_222146,216,38,10314,0.1700019,0.141,79.0299,9686.938310
20250702_222306,216,38,20000,0.1700019,0.141,156.1499,9687.330950
20250702_222544,216,38,20000,0.1700019,0.141,155.0542,9687.346625
20250702_222821,216,38,14966,0.1700019,0.141,116.6663,9686.938310
20250702_223019,216,38,8979,0.1700019,0.141,67.6587,9686.938310
20250702_223129,216,38,19005,0.1700019,0.141,148.2696,9686.938310
m20250702_205031,216,38,9544,0.1700019,0.141,71.8522,9686.938310
20250702_205145,216,38,5158,0.1700019,0.141,37.3580,9686.938310
20250702_205224,216,38,13662,0.1700019,0.141,104.2756,9686.938310
20250702_205410,216,38,10390,0.1700019,0.141,79.8252,9686.938310
20250702_205532,216,38,16223,0.1700019,0.141,122.7034,9686.938310
20250702_205736,216,38,6803,0.1700019,0.141,50.2535,9686.938310
20250702_205828,216,38,7066,0.1700019,0.141,52.5898,9686.938310
20250702_205923,216,38,7640,0.1700019,0.141,56.5120,9686.938310
20250702_210021,216,38,9464,0.1700019,0.141,72.1795,9686.938310
20250702_210135,216,38,16181,0.1700019,0.141,124.8961,9686.938310
20250702_210341,216,38,6672,0.1700019,0.141,49.6761,9686.938310
20250702_210433,216,38,7204,0.1700019,0.141,53.7481,9686.938310
20250702_210528,216,38,17520,0.1700019,0.141,135.8092,9686.938310
20250702_210746,216,38,5143,0.1700019,0.141,37.8998,9686.938310
20250702_210826,216,38,11140,0.1700019,0.141,84.4215,9686.938310
20250702_210952,216,38,20000,0.1700019,0.141,155.4326,9686.938310
20250702_213608,216,38,17025,0.1700019,0.141,124.9624,9686.938310
20250702_213815,216,38,16692,0.1700019,0.141,126.0678,9686.938310
20250702_214132,216,38,11441,0.1700019,0.141,83.9773,9686.938310
20250702_214311,216,38,19244,0.1700019,0.141,146.9718,9686.938310
20250702_214540,216,38,9397,0.1700019,0.141,66.3975,9686.938310
20250702_214648,216,38,13805,0.1700019,0.141,106.4808,9686.938310
20250702_230411,216,38,8140,0.1700019,0.141,53.5007,9686.938310
