id,x,y,party,name
10713,-0.658,-0.512,Democratic Party,"CONYERS, John, Jr."
14269,-0.564,-0.556,Democratic Party,"RICHMOND, Frederick William"
11001,0.035,-0.746,Republican Party,"BIESTER, Edward George, Jr."
13015,0.353,-0.815,Republican Party,"FRENZEL, William Eldridge"
14056,0.687,0.355,Republican Party,"SYMMS, Steven Douglas"
5436,-0.134,0.991,Democratic Party,"LANDRUM, Phillip Mitchell"
6532,-0.237,0.894,Democratic Party,"MILLS, Wilbur Daigh"
4957,-0.439,0.503,Democratic Party,"JOHNSON, Harold Terry"
6756,-0.582,0.191,Democratic Party,"MOSS, John Emerson"
